	a12 rep2

Result:	Viscosity curve 1

Interval and data points:	1	0
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]

Interval and data points:	2	1
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	-10	0	0	25.00	0	M- 	0.100

Interval and data points:	3	11
Interval data:	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status	Gap
								
		[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]		[mm]
	1	100	0.35477	3.5477	25.00	0.0016342	Dy_auto	0.100
	2	126	0.35794	2.8413	25.00	0.0016488	Dy_auto	0.100
	3	159	0.53655	3.3833	25.00	0.0024716	Dy_auto	0.100
	4	200	0.64322	3.2222	25.00	0.002963	Dy_auto	0.100
	5	251	0.80761	3.2128	25.00	0.0037202	Dy_auto	0.100
	6	316	1.0937	3.4559	25.00	0.0050382	Dy_auto	0.100
	7	398	1.4166	3.5558	25.00	0.0065257	Dy_auto	0.100
	8	502	1.8344	3.6572	25.00	0.0084501	Dy_auto	0.100
	9	631	2.3313	3.6918	25.00	0.010739	Dy_auto	0.100
	10	795	2.9934	3.7652	25.00	0.013789	Dy_auto	0.100
	11	1E+03	3.7719	3.7687	25.00	0.017375	Dy_auto	0.100

