
SetupTitle, Trf-initial
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Vg
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -10
TestParameter, Output.Graph.XAxis.Right, 10
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, Id, Ig
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.1, -0.1
TestParameter, Output.Graph.YAxis.Top, 0.1, 0.1
TestParameter, Output.Graph.YAxis.Group, , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, true
TestParameter, Output.Scalar.Data, Vd
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 11/13/2017 10:48:09
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 2
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, e53236f5-e4a3-4b84-bc62-bf9550429722
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vg
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -10
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 10
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Id, Ig
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, -6.2E-11, -5.8E-11
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 1.1E-05, 5.7E-11
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 5.6363318679476539E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 5.6363318679476539E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 5.6363318679476539E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 5.6363318679476539E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 5.6363318679476539E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU1:HR, Name=Vg, Direction=Double, Linear/Log=LINEAR, Start=-10 V, Stop=10 V, Step=200 mV, No. of Steps=101, Compliance=100 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU4:MP, Name=Vd, Source Mode=V, Source=100 mV, Compliance=100 mA	[CONSTANTS] Unit=SMU2:HR, Name=Vs, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		-10	1	21
AnalysisSetup, Analysis.Setup.Scalar.Datum.Name, Vd
AnalysisSetup, Analysis.Setup.Scalar.Datum.Value, 0.1
AnalysisSetup, Analysis.Setup.Scalar.Datum.Unit, V
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Trf-initial
Dimension1, 202, 202, 202, 202
Dimension2, 1, 1, 1, 1
DataName, Vg, Vd, Id, Ig
DataValue, -10, 0.1, -4.28E-12, -7.9800000000000011E-12
DataValue, -9.8, 0.1, 1.0810000000000001E-11, 3.51E-12
DataValue, -9.6, 0.1, 5.7450000000000006E-11, 1.752E-11
DataValue, -9.4, 0.1, 4.545E-11, 4.778E-11
DataValue, -9.2000000000000011, 0.1, 2.01E-12, 4.5240000000000004E-11
DataValue, -9, 0.1, 3.1400000000000004E-12, 8.2000000000000014E-12
DataValue, -8.8, 0.1, -2.36E-12, -6.04E-12
DataValue, -8.6, 0.1, -5.084E-11, -1.755E-11
DataValue, -8.4, 0.1, -5.2780000000000004E-11, -4.7150000000000006E-11
DataValue, -8.2, 0.1, -3.0000000000000003E-13, -5.1650000000000004E-11
DataValue, -8, 0.1, -3.5E-13, -1.679E-11
DataValue, -7.8, 0.1, -3.5E-13, 2.82E-12
DataValue, -7.6000000000000005, 0.1, 4.3710000000000003E-11, 1.16E-11
DataValue, -7.4, 0.1, 6.2080000000000007E-11, 3.6100000000000003E-11
DataValue, -7.2, 0.1, 1.1620000000000001E-11, 5.4350000000000005E-11
DataValue, -7, 0.1, 1.96E-12, 2.6360000000000003E-11
DataValue, -6.8, 0.1, 1.0600000000000001E-12, -3.18E-12
DataValue, -6.6000000000000005, 0.1, -3.029E-11, -1.029E-11
DataValue, -6.4, 0.1, -6.156E-11, -3.085E-11
DataValue, -6.2, 0.1, -2.1480000000000003E-11, -5.5450000000000006E-11
DataValue, -6, 0.1, -1.8100000000000002E-12, -3.448E-11
DataValue, -5.8, 0.1, -2.2000000000000003E-12, 1.1600000000000001E-12
DataValue, -5.6000000000000005, 0.1, 2.389E-11, 7.83E-12
DataValue, -5.4, 0.1, 6.087E-11, 2.624E-11
DataValue, -5.2, 0.1, 2.9840000000000004E-11, 5.386E-11
DataValue, -5, 0.1, 2.59E-12, 3.823E-11
DataValue, -4.8, 0.1, 2.9800000000000002E-12, 1.6000000000000003E-13
DataValue, -4.6000000000000005, 0.1, -1.454E-11, -6.3200000000000005E-12
DataValue, -4.4, 0.1, -5.7190000000000005E-11, -2.2210000000000003E-11
DataValue, -4.2, 0.1, -3.9170000000000005E-11, -5.0500000000000007E-11
DataValue, -4, 0.1, 9.000000000000001E-13, -4.042E-11
DataValue, -3.8000000000000003, 0.1, 3.0000000000000003E-13, -4.38E-12
DataValue, -3.6, 0.1, 1.269E-11, 5.5700000000000007E-12
DataValue, -3.4, 0.1, 8.1290000000000011E-11, 1.754E-11
DataValue, -3.2, 0.1, 1.5711000000000001E-10, 4.654E-11
DataValue, -3, 0.1, 3.4727000000000003E-10, 5.1150000000000006E-11
DataValue, -2.8000000000000003, 0.1, 1.0888E-09, -5.1330000000000005E-11
DataValue, -2.6, 0.1, 3.7469E-09, -2.245E-11
DataValue, -2.4, 0.1, 1.0867599999999998E-08, 1.59E-12
DataValue, -2.2, 0.1, 2.7479599999999997E-08, 2.4950000000000002E-11
DataValue, -2, 0.1, 5.7347999999999992E-08, 4.861E-11
DataValue, -1.8, 0.1, 1.0351279999999998E-07, 5.4870000000000007E-11
DataValue, -1.6, 0.1, 1.7208E-07, 1.499E-11
DataValue, -1.4000000000000001, 0.1, 2.6718E-07, -7.29E-12
DataValue, -1.2, 0.1, 3.8372E-07, -4.2000000000000004E-11
DataValue, -1, 0.1, 5.1592E-07, -3.729E-11
DataValue, -0.8, 0.1, 6.5428E-07, 4.77E-12
DataValue, -0.6, 0.1, 7.9426E-07, 2.553E-11
DataValue, -0.4, 0.1, 9.3555999999999994E-07, 5.2170000000000006E-11
DataValue, -0.2, 0.1, 1.07544E-06, -7.3E-13
DataValue, 0, 0.1, 1.2146000000000002E-06, -2.979E-11
DataValue, 0.2, 0.1, 1.3534E-06, 4.63E-12
DataValue, 0.4, 0.1, 1.4925000000000001E-06, 2.052E-11
DataValue, 0.6, 0.1, 1.6329E-06, 5.568E-11
DataValue, 0.8, 0.1, 1.7733000000000002E-06, 2.014E-11
DataValue, 1, 0.1, 1.9155E-06, -4.5500000000000006E-12
DataValue, 1.2, 0.1, 2.0597000000000004E-06, -2.4860000000000002E-11
DataValue, 1.4000000000000001, 0.1, 2.2054E-06, -5.4000000000000007E-11
DataValue, 1.6, 0.1, 2.3529000000000004E-06, -1.099E-11
DataValue, 1.8, 0.1, 2.5030000000000004E-06, 7.2500000000000008E-12
DataValue, 2, 0.1, 2.6550000000000004E-06, 3.081E-11
DataValue, 2.2, 0.1, 2.8087000000000003E-06, 5.3760000000000004E-11
DataValue, 2.4, 0.1, 2.9655000000000002E-06, 5.7700000000000007E-12
DataValue, 2.6, 0.1, 3.1238000000000005E-06, -7.39E-12
DataValue, 2.8000000000000003, 0.1, 3.2841000000000005E-06, -3.599E-11
DataValue, 3, 0.1, 3.4475000000000005E-06, -4.821E-11
DataValue, 3.2, 0.1, 3.6118000000000003E-06, 8.9E-13
DataValue, 3.4, 0.1, 3.7790000000000006E-06, 1.1420000000000001E-11
DataValue, 3.6, 0.1, 3.948E-06, 4.457E-11
DataValue, 3.8000000000000003, 0.1, 4.1192E-06, 4.61E-11
DataValue, 4, 0.1, 4.2917000000000008E-06, -9.000000000000001E-13
DataValue, 4.2, 0.1, 4.4664E-06, -1.0510000000000001E-11
DataValue, 4.4, 0.1, 4.6434E-06, -4.599E-11
DataValue, 4.6000000000000005, 0.1, 4.8225000000000008E-06, -3.838E-11
DataValue, 4.8, 0.1, 5.0019E-06, 3.58E-12
DataValue, 5, 0.1, 5.1845000000000009E-06, 1.046E-11
DataValue, 5.2, 0.1, 5.3689E-06, 3.9750000000000005E-11
DataValue, 5.4, 0.1, 5.5544000000000006E-06, 5.066E-11
DataValue, 5.6000000000000005, 0.1, 5.7419000000000009E-06, 2.1500000000000003E-12
DataValue, 5.8, 0.1, 5.9299000000000006E-06, -8.77E-12
DataValue, 6, 0.1, 6.1204000000000007E-06, -4.05E-11
DataValue, 6.2, 0.1, 6.3126E-06, -4.5440000000000007E-11
DataValue, 6.4, 0.1, 6.5056000000000009E-06, 2.31E-12
DataValue, 6.6000000000000005, 0.1, 6.7010000000000007E-06, 1.199E-11
DataValue, 6.8, 0.1, 6.8976000000000007E-06, 4.5970000000000004E-11
DataValue, 7, 0.1, 7.0952000000000011E-06, 4.367E-11
DataValue, 7.2, 0.1, 7.294100000000001E-06, -9.4E-13
DataValue, 7.4, 0.1, 7.4937000000000008E-06, -1.2220000000000001E-11
DataValue, 7.6000000000000005, 0.1, 7.6956000000000013E-06, -4.9810000000000007E-11
DataValue, 7.8, 0.1, 7.8988000000000014E-06, -3.2430000000000005E-11
DataValue, 8, 0.1, 8.1025E-06, 2.9600000000000003E-12
DataValue, 8.2, 0.1, 8.3071E-06, 1.4470000000000001E-11
DataValue, 8.4, 0.1, 8.5137000000000012E-06, 4.9390000000000003E-11
DataValue, 8.6, 0.1, 8.7214000000000009E-06, 3.875E-11
DataValue, 8.8, 0.1, 8.9298E-06, -1.51E-12
DataValue, 9, 0.1, 9.1382000000000017E-06, -1.4760000000000003E-11
DataValue, 9.2000000000000011, 0.1, 9.3491000000000017E-06, -5.2280000000000006E-11
DataValue, 9.4, 0.1, 9.5611E-06, -2.504E-11
DataValue, 9.6, 0.1, 9.7730000000000011E-06, 5.74E-12
DataValue, 9.8, 0.1, 9.9865000000000017E-06, 2.2330000000000002E-11
DataValue, 10, 0.1, 1.0199800000000002E-05, 5.6640000000000004E-11
DataValue, 10, 0.1, 1.02038E-05, -1.0540000000000002E-11
DataValue, 9.8, 0.1, 1.00183E-05, 7.42E-12
DataValue, 9.6, 0.1, 9.830900000000001E-06, 3.0860000000000004E-11
DataValue, 9.4, 0.1, 9.6421E-06, 5.422E-11
DataValue, 9.2000000000000011, 0.1, 9.453E-06, 7.41E-12
DataValue, 9, 0.1, 9.2625000000000015E-06, -6.9500000000000009E-12
DataValue, 8.8, 0.1, 9.0727E-06, -3.558E-11
DataValue, 8.6, 0.1, 8.8833E-06, -4.9650000000000004E-11
DataValue, 8.4, 0.1, 8.6929000000000011E-06, -2.16E-12
DataValue, 8.2, 0.1, 8.5030000000000014E-06, 9.03E-12
DataValue, 8, 0.1, 8.3126E-06, 3.8040000000000005E-11
DataValue, 7.8, 0.1, 8.1239E-06, 4.906E-11
DataValue, 7.6000000000000005, 0.1, 7.9345E-06, 2.2000000000000002E-13
DataValue, 7.4, 0.1, 7.7454E-06, -1.065E-11
DataValue, 7.2, 0.1, 7.5563000000000008E-06, -4.6770000000000004E-11
DataValue, 7, 0.1, 7.369400000000001E-06, -4.141E-11
DataValue, 6.8, 0.1, 7.1814E-06, 2.19E-12
DataValue, 6.6000000000000005, 0.1, 6.9948E-06, 1.3560000000000001E-11
DataValue, 6.4, 0.1, 6.8082E-06, 5.051E-11
DataValue, 6.2, 0.1, 6.623500000000001E-06, 3.4830000000000004E-11
DataValue, 6, 0.1, 6.4389E-06, -3.3100000000000002E-12
DataValue, 5.8, 0.1, 6.2549000000000009E-06, -1.6470000000000002E-11
DataValue, 5.6000000000000005, 0.1, 6.0723E-06, -5.401E-11
DataValue, 5.4, 0.1, 5.8909000000000006E-06, -2.6360000000000003E-11
DataValue, 5.2, 0.1, 5.7096E-06, 4E-12
