
SetupTitle, I/V-t Sampling
PrimitiveTest, I/V-t Sampling
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
TestParameter, Measurement.Sampling.StopCondition.Enabled, false
TestParameter, Measurement.Sampling.StopCondition.EnableDelay, 0
TestParameter, Measurement.Sampling.StopCondition.Name, 
TestParameter, Measurement.Sampling.StopCondition.Threshold, 0
TestParameter, Measurement.Sampling.StopCondition.Event, Val > Th
TestParameter, Measurement.Sampling.StopCondition.EventCount, 1
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 02/14/2023 13:26:50
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 1
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, !
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, dbd6d6be-4ca8-4476-b6ff-55ba9ccd34ba
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Time
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, s
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 61.000000000000007
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, I1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 2.2E-09
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 7.4E-09
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 17.491666666666664
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -0.423076923076923
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 17.491666666666664
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -0.423076923076923
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 17.491666666666664
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -0.423076923076923
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 17.491666666666664
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -0.423076923076923
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 17.491666666666664
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -0.423076923076923
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Time, I1, V1, I2, V2
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, s, A, V, A, V
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, I/V-t Sampling
Dimension1, 3000, 3000, 3000, 3000, 3000
Dimension2, 1, 1, 1, 1, 1
DataName, V1, V2, Time, I1, I2
DataValue, 2, 0, 0, 4.2952999999999994E-09, -4.2362E-09
DataValue, 2, 0, 0.14500000000000002, 4.2082999999999992E-09, -4.1999999999999996E-09
DataValue, 2, 0, 0.2, 4.1811E-09, -4.1617E-09
DataValue, 2, 0, 0.25, 4.1518E-09, -4.1444E-09
DataValue, 2, 0, 0.30000000000000004, 4.1306E-09, -4.1138E-09
DataValue, 2, 0, 0.35000000000000003, 4.1042E-09, -4.1019E-09
DataValue, 2, 0, 0.4, 4.0857E-09, -4.0742999999999995E-09
DataValue, 2, 0, 0.45, 4.0641999999999993E-09, -4.0639999999999992E-09
DataValue, 2, 0, 0.505, 4.0451E-09, -4.0457999999999994E-09
DataValue, 2, 0, 0.56500000000000006, 4.0245999999999995E-09, -4.0269999999999994E-09
DataValue, 2, 0, 0.625, 4.0068999999999995E-09, -4.0092E-09
DataValue, 2, 0, 0.685, 3.9906999999999995E-09, -3.9925E-09
DataValue, 2, 0, 0.74500000000000011, 3.9748999999999996E-09, -3.9774E-09
DataValue, 2, 0, 0.805, 3.9664E-09, -3.955E-09
DataValue, 2, 0, 0.85500000000000009, 3.9504E-09, -3.9524999999999993E-09
DataValue, 2, 0, 0.905, 3.9414E-09, -3.9312E-09
DataValue, 2, 0, 0.95500000000000007, 3.9282999999999993E-09, -3.9299999999999995E-09
DataValue, 2, 0, 1.0050000000000001, 3.9185999999999993E-09, -3.9083E-09
DataValue, 2, 0, 1.0550000000000002, 3.9079E-09, -3.9083E-09
DataValue, 2, 0, 1.11, 3.8945999999999994E-09, -3.8995999999999992E-09
DataValue, 2, 0, 1.1700000000000002, 3.8848E-09, -3.888E-09
DataValue, 2, 0, 1.2300000000000002, 3.8729999999999993E-09, -3.8766999999999992E-09
DataValue, 2, 0, 1.29, 3.8619999999999993E-09, -3.8649999999999994E-09
DataValue, 2, 0, 1.35, 3.8511999999999993E-09, -3.8565E-09
DataValue, 2, 0, 1.4100000000000001, 3.8469E-09, -3.8379E-09
DataValue, 2, 0, 1.4600000000000002, 3.8362999999999993E-09, -3.8385E-09
DataValue, 2, 0, 1.5100000000000002, 3.8303E-09, -3.8225E-09
DataValue, 2, 0, 1.56, 3.8215E-09, -3.9100999999999996E-09
DataValue, 2, 0, 1.6150000000000002, 7.0648999999999995E-09, -7.3735999999999994E-09
DataValue, 2, 0, 1.675, 7.3516999999999989E-09, -7.3509999999999991E-09
DataValue, 2, 0, 1.735, 7.3362999999999992E-09, -7.3335999999999996E-09
DataValue, 2, 0, 1.7950000000000002, 7.3214999999999996E-09, -7.3227999999999996E-09
DataValue, 2, 0, 1.8550000000000002, 7.3159999999999991E-09, -7.3062999999999991E-09
DataValue, 2, 0, 1.9000000000000001, 7.304799999999999E-09, -7.3071999999999989E-09
DataValue, 2, 0, 1.955, 7.299399999999999E-09, -7.2871999999999994E-09
DataValue, 2, 0, 2.0050000000000003, 7.288599999999999E-09, -7.2897999999999994E-09
DataValue, 2, 0, 2.055, 7.2794999999999991E-09, -7.2733999999999993E-09
DataValue, 2, 0, 2.105, 7.2714999999999991E-09, -7.2741999999999996E-09
DataValue, 2, 0, 2.1550000000000002, 7.2626999999999989E-09, -7.2545999999999993E-09
DataValue, 2, 0, 2.205, 7.253399999999999E-09, -7.256199999999999E-09
DataValue, 2, 0, 2.2600000000000002, 7.245399999999999E-09, -7.246699999999999E-09
DataValue, 2, 0, 2.3200000000000003, 7.2337999999999996E-09, -7.2351999999999992E-09
DataValue, 2, 0, 2.3800000000000003, 7.2240999999999995E-09, -7.2275999999999993E-09
DataValue, 2, 0, 2.4400000000000004, 7.214299999999999E-09, -7.2167999999999993E-09
DataValue, 2, 0, 2.5, 7.2089999999999994E-09, -7.1944999999999995E-09
DataValue, 2, 0, 2.5500000000000003, 7.1979E-09, -7.2000999999999996E-09
DataValue, 2, 0, 2.6, 7.1911999999999989E-09, -7.1797999999999995E-09
DataValue, 2, 0, 2.6500000000000004, 7.18E-09, -7.1838999999999996E-09
DataValue, 2, 0, 2.7, 7.1735E-09, -7.1628999999999989E-09
DataValue, 2, 0, 2.7500000000000004, 7.165899999999999E-09, -7.1647999999999991E-09
DataValue, 2, 0, 2.805, 7.153599999999999E-09, -7.1564999999999994E-09
DataValue, 2, 0, 2.865, 7.1437E-09, -7.1465999999999993E-09
DataValue, 2, 0, 2.9250000000000003, 7.1359E-09, -7.136299999999999E-09
DataValue, 2, 0, 2.9850000000000003, 7.124199999999999E-09, -7.128099999999999E-09
DataValue, 2, 0, 3.0450000000000004, 7.1191999999999992E-09, -7.1109999999999991E-09
DataValue, 2, 0, 3.0900000000000003, 7.1081999999999991E-09, -7.112099999999999E-09
DataValue, 2, 0, 3.1450000000000005, 7.1033999999999993E-09, -7.0919999999999991E-09
DataValue, 2, 0, 3.1950000000000003, 7.093099999999999E-09, -7.0968E-09
DataValue, 2, 0, 3.245, 7.0873E-09, -7.0791E-09
DataValue, 2, 0, 3.2950000000000004, 7.0776999999999992E-09, -7.0840999999999996E-09
DataValue, 2, 0, 3.345, 7.0689999999999995E-09, -7.0609999999999995E-09
DataValue, 2, 0, 3.3950000000000005, 7.0611999999999996E-09, -7.067399999999999E-09
DataValue, 2, 0, 3.4450000000000003, 7.0519E-09, -7.0452E-09
DataValue, 2, 0, 3.495, 7.0461999999999991E-09, -7.0495E-09
DataValue, 2, 0, 3.5500000000000003, 7.0378999999999994E-09, -7.041899999999999E-09
DataValue, 2, 0, 3.6100000000000003, 7.0275999999999992E-09, -7.033899999999999E-09
DataValue, 2, 0, 3.6700000000000004, 7.0233999999999995E-09, -7.0078E-09
DataValue, 2, 0, 3.72, 7.012299999999999E-09, -7.017499999999999E-09
DataValue, 2, 0, 3.7700000000000005, 7.006899999999999E-09, -6.9938999999999992E-09
DataValue, 2, 0, 3.8200000000000003, 6.9964999999999992E-09, -7.0003999999999991E-09
DataValue, 2, 0, 3.87, 6.9899999999999992E-09, -6.9836999999999994E-09
DataValue, 2, 0, 3.9200000000000004, 6.9827999999999995E-09, -6.986599999999999E-09
DataValue, 2, 0, 3.9750000000000005, 6.9718999999999991E-09, -6.9780999999999993E-09
DataValue, 2, 0, 4.035, 6.9631999999999993E-09, -6.9708999999999996E-09
DataValue, 2, 0, 4.0950000000000006, 6.8747999999999995E-09, -4.945E-09
DataValue, 2, 0, 4.155, 3.5187E-09, -3.5294E-09
DataValue, 2, 0, 4.2150000000000007, 3.5157999999999998E-09, -3.5221999999999997E-09
DataValue, 2, 0, 4.275, 3.5081999999999995E-09, -3.5143999999999998E-09
DataValue, 2, 0, 4.335, 3.501E-09, -3.5073999999999997E-09
DataValue, 2, 0, 4.3950000000000005, 3.4988999999999996E-09, -3.4869999999999996E-09
DataValue, 2, 0, 4.445, 3.4903E-09, -3.4948999999999996E-09
DataValue, 2, 0, 4.5, 3.4854999999999996E-09, -3.4912999999999997E-09
DataValue, 2, 0, 4.5600000000000005, 3.4815999999999996E-09, -3.4860999999999998E-09
DataValue, 2, 0, 4.62, 3.4733999999999996E-09, -3.4797999999999995E-09
DataValue, 2, 0, 4.6800000000000006, 3.4678999999999996E-09, -3.4749999999999997E-09
DataValue, 2, 0, 4.74, 3.4629999999999997E-09, -3.4695999999999997E-09
DataValue, 2, 0, 4.8000000000000007, 3.4587999999999997E-09, -3.4648999999999995E-09
DataValue, 2, 0, 4.86, 3.4553E-09, -3.4588999999999997E-09
DataValue, 2, 0, 4.9200000000000008, 3.4484E-09, -3.4565E-09
DataValue, 2, 0, 4.98, 3.4452999999999997E-09, -3.4404E-09
DataValue, 2, 0, 5.03, 3.4394999999999995E-09, -3.4485E-09
DataValue, 2, 0, 5.0850000000000009, 3.4364E-09, -3.4410999999999996E-09
DataValue, 2, 0, 5.1450000000000005, 3.4333999999999997E-09, -3.4395999999999996E-09
DataValue, 2, 0, 5.205, 3.4271999999999995E-09, -3.4363E-09
DataValue, 2, 0, 5.2650000000000006, 3.4243E-09, -3.4297E-09
DataValue, 2, 0, 5.325, 3.4208999999999996E-09, -3.4257999999999995E-09
DataValue, 2, 0, 5.3850000000000007, 3.4176E-09, -3.4230999999999995E-09
DataValue, 2, 0, 5.445, 3.4136E-09, -3.4197999999999997E-09
DataValue, 2, 0, 5.5050000000000008, 3.4100999999999996E-09, -3.4150999999999995E-09
DataValue, 2, 0, 5.565, 3.4095999999999995E-09, -3.3994999999999997E-09
DataValue, 2, 0, 5.615, 3.404E-09, -3.4083999999999995E-09
DataValue, 2, 0, 5.665, 3.4018999999999996E-09, -3.3948999999999995E-09
DataValue, 2, 0, 5.7150000000000007, 3.4E-09, -3.4029999999999995E-09
DataValue, 2, 0, 5.7650000000000006, 3.3964999999999996E-09, -3.3876999999999998E-09
DataValue, 2, 0, 5.815, 3.3937999999999996E-09, -3.3970999999999998E-09
DataValue, 2, 0, 5.87, 3.3897999999999996E-09, -3.396E-09
DataValue, 2, 0, 5.9300000000000006, 3.3868999999999995E-09, -3.3942999999999997E-09
DataValue, 2, 0, 5.99, 3.3834999999999997E-09, -3.3894999999999995E-09
DataValue, 2, 0, 6.0500000000000007, 3.3830999999999996E-09, -3.3859999999999997E-09
DataValue, 2, 0, 6.11, 3.3772E-09, -3.3840999999999995E-09
DataValue, 2, 0, 6.1700000000000008, 3.377E-09, -3.3695999999999996E-09
DataValue, 2, 0, 6.2200000000000006, 3.3729E-09, -3.3792999999999997E-09
DataValue, 2, 0, 6.275, 3.3710999999999997E-09, -3.377E-09
DataValue, 2, 0, 6.3350000000000009, 3.3693999999999996E-09, -3.3739999999999997E-09
DataValue, 2, 0, 6.3950000000000005, 3.3646999999999998E-09, -3.3712999999999997E-09
DataValue, 2, 0, 6.455000000000001, 3.3633999999999998E-09, -3.3684999999999997E-09
DataValue, 2, 0, 6.5150000000000006, 3.3590999999999997E-09, -3.3653999999999996E-09
